"PARENT","WSM_CATNAME","LONG_DESC","EXTENDED DESCRIPTION","EXISTING ID","CAT_IMAGE","METADESCRIPTION","KEYWORDS","META TITLE","PRIORITY","CATEGORYPATH","ADDED","HIDDEN"
"Exhaust Tips - 08-10 Ford 6.4L","MBRP Exhaust Tips - 08-10 Ford 6.4L","<p>MBRP Exhaust tips give you the opportunity to really personalize
your high performance exhaust system. Whether you choose the Mirror polished
T304 stainless steel exhaust tip or the Black finish T304 stainless steel exhaust
tip, each ensures that they keep on looking great long after cheaper chrome
tips have rusted through. They are easy to clean up and easy to install. The
clampless, no-weld design makes it easy to have the exhaust tip that suits you
best and the ability to adjust the angle or remove the exhaust tip with ease.</p>","","779079","https://usdieselparts.com/images/F101152434","MBRP Exhaust Tips for 2008 - 2010 Ford 6.4L Power Stroke","MBRP, Exhaust, Tips, 2008, 2009, 2010, Ford, 6.4L, Power, Stroke","MBRP Exhaust Tips Ford 6.4L","500","Ford>2008-2010 6.4L Ford Power Stroke>Exhaust Components - 08-10 Ford 6.4L>Exhaust Tips - 08-10 Ford 6.4L>MBRP Exhaust Tips - 08-10 Ford 6.4L","2013-05-31 17:39:34",""
"Exhaust Components - 08-10 Ford 6.4L","MagnaFlow - 08-10 Ford 6.4L","Magnaflow Exhaust Kits for 2008 - 2010 Ford 6.4L Power Stroke
<p>Whether
you drive a street, off-road or diesel truck/SUV, MagnaFlow has dyno-proven
exhaust systems that are rugged enough to survive grueling Baja racing. Each
system is designed to bolt right on and provide years of trouble-free performance.
Provides a smooth, deep tone that is suitable for grocery-getting SUV's with
casual tow duties to full blown modded drag racing diesel pickups. </p>
<p align=""left"">If you don't see your vehicle listed here, then just call us toll
free at (800) 823-4444 for more info.</p>","","779080","https://usdieselparts.com/images/F101152548","Magnaflow Exhaust Kits for 2008 - 2010 Ford 6.4L Power Stroke","Magnaflow, Exhaust, 2008, 2009, 2010, Ford, 6.4L, Power, Stroke","Magnaflow Exhaust Ford 6.4L Power Stroke","501","Ford>2008-2010 6.4L Ford Power Stroke>Exhaust Components - 08-10 Ford 6.4L>MagnaFlow - 08-10 Ford 6.4L","2013-05-31 17:39:34",""
"Exhaust Components - 08-10 Ford 6.4L","MBRP - 08-10 Ford 6.4L","
<center><img src=""/files/products/MBR/mbrp-header.jpg"" width=""860"" height=""100"" alt=""MBRP Performance Exhausts"" border=""0""></center>
<br />
<center>MBRP Performance Exhaust systems for 2008-2010 Ford 6.4L Power Stroke Diesel Trucks.<center>","","779081","https://usdieselparts.com/images/F101152549","MBRP Exhaust systems for 2008 - 2010 Ford 6.4L Power Stroke Diesel Trucks.","MBRP, Exhaust, Systems, Ford, 6.4L, Power, Stroke, powerstroke, performance, diesel, 4, 5, inch, kit, dual, single, steel, aluminum, aluminized","MBRP Exhaust Systems Ford 6.4L Power Stroke","503","Ford>2008-2010 6.4L Ford Power Stroke>Exhaust Components - 08-10 Ford 6.4L>MBRP - 08-10 Ford 6.4L","2013-05-31 17:39:35",""
"Fuel System Components - 08-10 Ford 6.4L","FASS® Products - 08-10 Ford 6.4L","<p align=""left"">Air/vapor in diesel fuel is a common problem with any diesel vehicle where the fuel tank is located at a lower point than the engine. The movement of the fuel inside the tank, and the process of fuel transfer under these conditions creates as much as 10% air/vapor within the fuel. Symptoms of air/vapor can be low horsepower, poor fuel mileage, excessive smoke, injector failure, hard starting, surging and rough running. You can eliminate this problem with a FASS Fuel Air Separation System and get &quot;test cell&quot; performance under real world conditions.</p>
<center>
<table cellpadding=""5"" border=""0"" width=""550"">
<tr>
     <td>
<div align=""left"">&bull; Increase Horsepower<br />
&bull; Better Fuel Mileage<br />
&bull; Less Smoke<br />
&bull; Protects Injection System<br />
&bull; Easier Starting<br />
&bull; Engine Runs Smoother<br />
&bull; Better Throttle Response</div>
     </td>
     <td>
<img alt=""FASS eliminates air/vapor in your fuel. "" width=""200"" height=""163"" align=""right"" src=""/files/images/fuel_comparison.jpg"" />
     </td>
     <td width=""100"">&nbsp;</td>
</tr>
</table>
</center>
<br><br>","","779082","https://usdieselparts.com/images/F101140196","FASS Performance Lift Pumps for Ford PowerStroke 6.4L increases horsepower, gives better fuel mileage, easier starts and less smoke than stock.","FASS, fuel, air, separation, system, Lift Pumps, lift pump, Ford, PowerStroke, 6.4L, performance","FASS Lift Pumps Ford Power Stroke 6.4L","499","Ford>2008-2010 6.4L Ford Power Stroke>Fuel System Components - 08-10 Ford 6.4L>FASS® Products - 08-10 Ford 6.4L","2013-05-31 17:39:35",""
"FASS® Products - 08-10 Ford 6.4L","FASS Heavy Duty Series - 08-10 Ford 6.4L","<p align=""left"">The FASS Heavy Duty Series (formerly the 150 Series) is a high
quality fuel supply pump with far superior reliability, fuel flow and fuel pressure
characteristics than that of the factory fuel supply pump. FASS Heavy Duty Series
systems have the patented ability to remove air/vapor from diesel fuel that
will increase power and fuel mileage, and will also extend the life of your
fuel injection system. The fuel filter and water separator also provides additional
protection from dirt and water contamination.</p>
<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tr valign=""top"">
<td width=""50%"" nowrap> Removes AIR / Vapor from fuel<br />
 Consistent flow of fuel<br />
 Reliable high volume pumps<br />
 Increase horsepower<br />
 Increase torque<br />
 Increase fuel economy<br />
 Easier Starting</td>
<td width=""50%"" nowrap> Better throttle response<br>
 Protect injection system from costly damage<br />
 Reduces carbon monoxide &amp; carbon dioxide <br />
 500,000+ mile life expectancy <br />
 Interchangeable filters <br />
 3 or 10 micron filters available<br>
<b> Lifetime Warranty</b> </td>
</tr>
</table>
<p align=""left""><b>Heavy Duty <font color=""#FF0000"">- VS -</font> Titanium <font color=""#FF0000"">-
VS -</font> Platinum</b><br>
The performance specifications between the Heavy Duty, Titanium and Platinum
series kits are all very similar. The primary difference is in the filters and
the overall size of each system. </p>
<p align=""left""> Heavy Duty Series - 14&quot; height<br>
 Titanium Series - 12-1/8&quot; height<br>
 Platinum Series - 9.5"" height</p>
<p align=""left"">Heavy Duty series filters are rated at 40k miles, and the Titanium
series filters are rated at 30k miles. Because of their larger size, the Heavy
Duty series kits are more commonly used for heavy duty trucks or race/competition
vehicles. Titanium series kits are usually a better choice for most light duty
trucks. Platinum series kits are also great for most light duty trucks where
mounting space is limited. </p>","","779083","https://usdieselparts.com/images/F85415497","FASS Heavy Duty series high performance lift pumps fit 2008-2010 Ford 6.4L Power Stroke","FASS, Heavy, Duty, Series, Ford, 6.4L, Power Stroke","FASS Heavy Duty Ford 6.4L Power Stroke","500","Ford>2008-2010 6.4L Ford Power Stroke>Fuel System Components - 08-10 Ford 6.4L>FASS® Products - 08-10 Ford 6.4L>FASS Heavy Duty Series - 08-10 Ford 6.4L","2013-05-31 17:39:35","1"
"FASS® Products - 08-10 Ford 6.4L","FASS Platinum Series - 08-10 Ford 6.4L","<p align=""left"">The FASS Platinum Series Systems were designed with the light
truck in mind. These are a cost effective alternative to the to the Titanium
or Heavy Duty series pumps. Platinum Series pumps operate at lower noise levels
and the compact design offers easy installation in confined spaces. A single
filter removes air vapor, water and dirt. You can expect more power, better
fuel economy, easier starting, smoother acceleration and snappier throttle response.</p>
<div align=""left"">
<ul>
<li>Increase Performance and Fuel Economy</li>
<li>Protects Fuel Injection System</li>
<li>Compact, Quiet Design</li>
<li> Easy Installation</li>
<li><b>Lifetime Warranty</b></li>
</ul>
</div>","","779084","https://usdieselparts.com/images/F85415498","FASS Platinum Series performance lift pumps fit Ford 6.4L Power Stroke","FASS, Platinum, Ford, 6.4L, Power, Stroke","FASS Platinum Ford 6.4L Power Stroke","500","Ford>2008-2010 6.4L Ford Power Stroke>Fuel System Components - 08-10 Ford 6.4L>FASS® Products - 08-10 Ford 6.4L>FASS Platinum Series - 08-10 Ford 6.4L","2013-05-31 17:39:35","1"
"FASS® Products - 08-10 Ford 6.4L","FASS Titanium Series - 08-10 Ford 6.4L","<p align=""left"">The FASS Titanium Series (formerly called the 95-series) is the
most effective and widely used Fuel Air Separation System of its kind for light
duty trucks. Each Titanium system consists of a high performance fuel supply
pump, a 30k mile fuel filter and water separator. The fuel pressure and volume
is far superior than the OEM fuel pump and helps protect your fuel system from
potential damage, provides easier starting, smoother acceleration and a snappier
throttle response. The separation of air vapor increases power and fuel economy.</p>
<div align=""left"">
<ul>
<li>Increase Performance and Fuel Economy</li>
<li>Protects Fuel Injection System</li>
<li>12-1/8&quot; height works well with light duty trucks</li>
<li>Easy Installation</li>
<li><b>Lifetime Warranty</b></li>
</ul>
<p><b>Stock</b> - For stock vehicles only. No aftermarket performance upgrades.<br />
<b>Moderate</b> - Some performance upgrades such as a programmer. Engine output
not exceeding 500hp.<br />
<b>Extreme</b> - Extensive performance upgrades. Engine output of 500hp or
more.<br>
<b>Super Extreme</b> - Off-road, race or competition vehicles. </p>
</div>","","779085","https://usdieselparts.com/images/F85415500","FASS Titanium Series high performance lift pumps for 2008-2010 Ford 6.4L Power Stroke","FASS, Titanium, Ford, 6.4L, Power, Stroke","FASS Titanium Ford 6.4L Power Stroke","500","Ford>2008-2010 6.4L Ford Power Stroke>Fuel System Components - 08-10 Ford 6.4L>FASS® Products - 08-10 Ford 6.4L>FASS Titanium Series - 08-10 Ford 6.4L","2013-05-31 17:39:35",""
"FASS® Products - 08-10 Ford 6.4L","FASS Veggie Oil Lift Pump - 08-10 Ford 6.4L","FASS Veggie Oil Lift Pumps for 2008 - 2010 Ford 6.4L Power Stroke","","779086","https://usdieselparts.com/images/F85415502","FASS Veggie Oil Lift Pumps for 2008 - 2010 Ford 6.4L Power Stroke","FASS, Veggie, Oil, Lift, Pump, 2008, 2009, 2010, Ford, 6.4L, Power, Stroke","FASS Veggie Oil Lift Pump Ford 6.4L","500","Ford>2008-2010 6.4L Ford Power Stroke>Fuel System Components - 08-10 Ford 6.4L>FASS® Products - 08-10 Ford 6.4L>FASS Veggie Oil Lift Pump - 08-10 Ford 6.4L","2013-05-31 17:39:36","1"
"2008-2010 6.4L Ford Power Stroke","Fuel & Oil Filters - 08-10 Ford 6.4L","Fuel and Oil Filter for 2008 - 2010 Ford 6.4L Power Stroke","","779087","https://usdieselparts.com/images/F101140278","Replacement fuel and oil filters for Ford 6.4L Power Stroke","Fuel filters, Oil Filters, Ford, 6.4L, Power Stroke","Fuel Oil Filters Ford 6.4L Power Stroke","400","Ford>2008-2010 6.4L Ford Power Stroke>Fuel & Oil Filters - 08-10 Ford 6.4L","2013-05-31 17:39:36",""
"2008-2010 6.4L Ford Power Stroke","Gauges & Gauge Holders - 08-10 Ford 6.4L","<p>Auto Meter and ISSPRO Gauges, Gauge Holders and Gauge related accessories for 2008 - 2010 6.4L Ford Power Stroke. A great gauge display can not only be functional but the perfect way to customize your diesel truck. Keep your diesels feedback readable at a glance and do so with style that fits your tastes.</p>","","779088","https://usdieselparts.com/images/F142803329","Gauges & Gauge Holders for 2008 - 2010 6.4L Ford Power Stroke","Gauges, Gauge, Holders, 2008, 2009, 2010, 6.4L, Ford, Power, Stroke","Gauges Gauge Holders 6.4L Ford Power Stroke","380","Ford>2008-2010 6.4L Ford Power Stroke>Gauges & Gauge Holders - 08-10 Ford 6.4L","2013-05-31 17:39:36",""
"Gauges & Gauge Holders - 08-10 Ford 6.4L","Gauge Holders - 08-10 Ford 6.4L","Gauge Holders for 2008 - 2010 Ford 6.4L Power Stroke","","779089","https://usdieselparts.com/images/F101152555","Gauge Holders for 2008 - 2010 Ford 6.4L Power Stroke","Gauge, Holders, Ford, 6.4L, Power, Stroke","Gauge Holders Ford 6.4L Power Stroke","500","Ford>2008-2010 6.4L Ford Power Stroke>Gauges & Gauge Holders - 08-10 Ford 6.4L>Gauge Holders - 08-10 Ford 6.4L","2013-05-31 17:39:36",""
"2008-2010 6.4L Ford Power Stroke","Glow Plugs & Controllers - 08-10 Ford 6.4L","Glow plug control module and glow plugs for 2008 to 2010 Ford 6.4L diesel trucks.","","779090","https://usdieselparts.com/images/F101298505","Ford 6.4L Power Stroke Glow Plugs & Controllers","Ford, 6.4L, Power Stroke, Glow, Plugs, Controllers, 2008, 2009, 2010","Ford 6.4L Power Stroke Glow Plugs Controllers","370","Ford>2008-2010 6.4L Ford Power Stroke>Glow Plugs & Controllers - 08-10 Ford 6.4L","2013-05-31 17:39:36",""
"2008-2010 6.4L Ford Power Stroke","Heads, Head Studs & Gaskets - 08-10 Ford 6.4L","Heads, Head Studs and Head Gaskets for 2008 - 2010 Ford 6.4L Power Stroke","","779091","https://usdieselparts.com/images/F144550142","Cylinder Heads, Head Studs and Head Gaskets for 2008 - 2010 Ford 6.4L Power Stroke","ARP, Head, Studs, Gaskets, Ford, 6.4L, Power, Stroke","Heads, Head Studs Gaskets Ford 6.4L Power Stroke","360","Ford>2008-2010 6.4L Ford Power Stroke>Heads, Head Studs & Gaskets - 08-10 Ford 6.4L","2013-05-31 17:39:36",""
"Fuel System Components - 08-10 Ford 6.4L","Ford 6.4L Power Stroke Injectors & Nozzles","Look no further than US Diesel Parts for the best selection of fuel injectors for Ford 6.4L Powerstroke engines. We offer stock replacement fuel injectors for the 2008-2010 Ford Powerstroke through Alliant Power. For those of you looking for a little more horsepower we have you covered with a full line of injectors by Industrial Injection and Dynomite Diesel Injectors.  If you have any questions regarding your 2008-2010 Ford Powerstroke fuel injectors, give one of our fuel injector pros a call at 1-800-823-4444.    ","","779092","https://usdieselparts.com/images/F101140195","Look no further than US Diesel Parts for the best selection of fuel injectors for Ford 6.4L Powerstroke engines. We offer stock replacement fuel injectors for the 2008-2010 Ford Powerstroke through Alliant Power. For those of you looking for a little more horsepower we have you covered with a full line of injectors by Industrial Injection and Dynomite Diesel Injectors.  If you have any questions regarding your 2008-2010 Ford Powerstroke fuel injectors, give one of our fuel injector pros a call at 1-800-823-4444.    ","Injectors, Ford, 6.4L, Power, Stroke, 2008, 2009, 2010","Ford 6.4L Power Stroke Injectors","500","Ford>2008-2010 6.4L Ford Power Stroke>Fuel System Components - 08-10 Ford 6.4L>Ford 6.4L Power Stroke Injectors & Nozzles","2013-05-31 17:39:37",""
"2008-2010 6.4L Ford Power Stroke","Intake Kits - Air Filters - 08-10 Ford 6.4L","<p>The air cleaner assembly is where your engine begins making power. Without good airflow in the equation, your engine simply can’t breathe, resulting in poor performance and fuel economy. While the design of the stock intake is relatively efficient, upgrading to a high flow system can improve overall airflow and performance. For customers in California, or others outside of California, but would like to comply with CARB give us a call to ensure the air intake you are purchasing will pass emissions inspections in the state of California while installed on your vehicle.</p>
<p>We carry a full line of cold air intakes, filters and cleaning kits for a mass variety of vehicles.  Whether you tow a horse trailer or a weekend warrior at the track we can help pick the right system for your rig. We carry complete lines from HSP, Banks, S&B Filters, and more, give us a call and we'll help you decide on the best air intake based on what you do with your truck.</p>
","","779093","https://usdieselparts.com/images/F101140185","Cold Air Intake kits for 2008 - 2010 Ford 6.4L Power Stroke","Cold, Air, Intakes, Ford, 6.4L, Power Stroke, AFE, Airaid, Banks, Bully Dog, K&N, S&B","Cold Air Intakes for 2009-2010 Ford 6.4L Power Stroke Diesel","480","Ford>2008-2010 6.4L Ford Power Stroke>Intake Kits - Air Filters - 08-10 Ford 6.4L","2013-05-31 17:39:37",""
"2008-2010 6.4L Ford Power Stroke","Intercoolers - 08-10 Ford 6.4L","Intercoolers and related parts for 2008 - 2010 Ford 6.4L Power Stroke diesel trucks.  Heat is one of the biggest threats to overall powertrain longevity. As a gearhead, battling excessive temperatures is an ongoing trend. However, there are a multitude of various condensers designed to tackle high temperatures. One of the biggest changes to excessive Exhaust Gas Temperatures is to upgrade your factory intercooler. The factory unit is subpar at best, debilitating any efforts of overall heat reduction. To only enhance the shortcomings of the factory cooler, over time it becomes plugged with bugs, dirt, and other debris, severely hampering its overall cooling capability. Aftermarket intercoolers feature larger end tanks for greater air flow, thicker and denser cores, and just overall better construction. All of these same upgrades are also built into most of the upgraded radiators and transmission coolers as well. Also, we carry a wide selection of upgraded intercooler boots in silicone and Nomex and as well as clamps to insure you do not have a problem of a (blown boot) or the failure of the cheap rubber ones. ","","779101","https://usdieselparts.com/images/F101299126","Intercoolers and related parts for 2008 - 2010 Ford 6.4L Power Stroke diesel trucks.","Intercoolers, 2008, 2009, 2010, Ford, 6.4L, Power, Stroke","Intercoolers Ford 6.4L Power Stroke","340","Ford>2008-2010 6.4L Ford Power Stroke>Intercoolers - 08-10 Ford 6.4L","2013-05-31 17:39:38",""
"2008-2010 6.4L Ford Power Stroke","Transmissions - 08-10 Ford 6.4L","Transmissions for 2008 - 2010 Ford 6.4L Power Stroke.","","779106","https://usdieselparts.com/images/F100125970","Transmissions for 2008 - 2010 Ford 6.4L Power Stroke.","Ford, 6.4L, Power, Stroke, Transmissions, 2008, 2009, 2010","Transmissions Ford 6.4L Power Stroke","450","Ford>2008-2010 6.4L Ford Power Stroke>Transmissions - 08-10 Ford 6.4L","2013-05-31 17:39:39",""
"Transmissions - 08-10 Ford 6.4L","Automatic Transmission Accessories - 08-10 Ford 6.4L","Transmission accessories for 2008 - 2010 Ford 6.4L Power Stroke such as the BD transmission cooler with fan and Mag-Hytech deep sump transmission pan.","","779108","https://usdieselparts.com/images/F144577339","Transmission accessories for 2008 - 2010 Ford 6.4L Power Stroke such as the BD transmission cooler with fan and Mag-Hytech deep sump transmission pan.","Ford, 6.4L, Power, Stroke, Transmission, Accessories, 2008, 2009, 2010","Transmission Accessories Ford 6.4L Power Stroke","499","Ford>2008-2010 6.4L Ford Power Stroke>Transmissions - 08-10 Ford 6.4L>Automatic Transmission Accessories - 08-10 Ford 6.4L","2013-05-31 17:39:39",""
"Transmissions - 08-10 Ford 6.4L","BD - Heavy Duty Transmissions - 08-10 Ford 6.4L","<p>Heavy Duty Remanufactured Transmissions from BD Power for 2008 to 2010 Ford 6.4L Power Stroke Diesel Pick-up Trucks.</p>","","779109","https://usdieselparts.com/images/F144548318","BD Automatic Transmission for 2008 - 2010 Ford 6.4L Power Stroke.","Ford, 6.4L, Power, Stroke, Automatic, Transmissions, transmission, 2wd, 4wd","BD - Ford 6.4L Power Stroke Automatic Transmissions","502","Ford>2008-2010 6.4L Ford Power Stroke>Transmissions - 08-10 Ford 6.4L>BD - Heavy Duty Transmissions - 08-10 Ford 6.4L","2013-05-31 17:39:40",""
"Transmissions - 08-10 Ford 6.4L","Torque Converters - 08-10 Ford 6.4L","Torque Converters for 2008 - 2010 Ford 6.4L Power Stroke","","779110","https://usdieselparts.com/images/F101299180","Torque Converters for 2008-2010 Ford 6.4L Power Stroke","Torque, Converters, Ford, 6.4L, Power, Stroke, 2008, 2009, 2010, BD","Torque Converters Ford 6.4L Power Stroke","500","Ford>2008-2010 6.4L Ford Power Stroke>Transmissions - 08-10 Ford 6.4L>Torque Converters - 08-10 Ford 6.4L","2013-05-31 17:39:40",""
"Transmissions - 08-10 Ford 6.4L","Heavy Duty Clutch Kits - 08-10 Ford 6.4L","<p align=""left""> The feel of a performance clutch can differ greatly from the
factory clutch. You can minimize these effects and increase clutch longevity
by choosing the right clutch for your truck based on the horsepower and what
you use your truck for. A clutch designed to hold 550 hp may not act right in
a truck that only puts out 350 hp, so try to choose a clutch that closely matches
or only slightly exceeds your trucks horsepower level.</p>
<p align=""left""><b>Everyday Driving - Little or no HP improvements:<br>
</b>Stock trucks, or trucks with moderate horsepower improvements (chip, exhaust,
intake) should stick to a single disc clutch.</p>
<p align=""left""><b>Everyday Driving - Major HP Improvements<br>
</b>Trucks with significant horsepower improvements (stacked chips, performance
injectors, etc.) should consider a street dual disc clutch.</p>
<p align=""left""><b>Heavy Towing - 15,000 lbs or more</b><br>
Trucks that regularly haul or tow 15,000 lbs or more should use a street dual
disc clutch, regardless of the hp level.</p>
<p align=""left""> <b>Competition Drag or Pulling</b><br />
Any truck used for competition drag racing or sled-pulling should use an SFI
approved multi-disc clutch. </p>","","779112","https://usdieselparts.com/images/F144548319","Clutch Kits for 2008 - 2010 Ford 6.4L Power Stroke by South Bend Clutch.
Available in steet, single, dual and multi disk competition clutches.","Clutch, Kits, Ford, 6.4L, Power, Stroke, South Bend Clutch, 2008, 2009, 2010","Clutch Kits Ford 6.4L Power Stroke","501","Ford>2008-2010 6.4L Ford Power Stroke>Transmissions - 08-10 Ford 6.4L>Heavy Duty Clutch Kits - 08-10 Ford 6.4L","2013-05-31 17:39:41",""
"Heavy Duty Clutch Kits - 08-10 Ford 6.4L","Competition Multi Disc - 08-10 Ford 6.4L","South Bend Clutch Competition Multi Disc Clutch Kits for 2008 - 2010 Ford 6.4L Power Stroke.","","779113","https://usdieselparts.com/images/F101513960","South Bend Clutch Competition Multi Disc Clutch Kits for 2008 - 2010 Ford 6.4L Power Stroke.","South, Bend, Clutch, Competition, Multi, Disc, Clutches, Ford, 6.4L, Power, Stroke","Competition Multi Disc Clutch Ford 6.4L Power Stroke","498","Ford>2008-2010 6.4L Ford Power Stroke>Transmissions - 08-10 Ford 6.4L>Heavy Duty Clutch Kits - 08-10 Ford 6.4L>Competition Multi Disc - 08-10 Ford 6.4L","2013-05-31 17:39:41",""
"Heavy Duty Clutch Kits - 08-10 Ford 6.4L","Street Dual Disc - 08-10 Ford 6.4L","South Bend Clutch Street Dual Disc Clutch Kits for 2008 - 2010 Ford 6.4L Power Stroke.","","779114","https://usdieselparts.com/images/F101513962","South Bend Clutch Street Dual Disc Clutch Kits for 2008 - 2010 Ford 6.4L Power Stroke.","Street, Dual, Disc, Clutches, Ford, 6.4L, Power, Stroke, south bend clutch","Street Dual Disc Clutches Ford 6.4L Power Stroke","499","Ford>2008-2010 6.4L Ford Power Stroke>Transmissions - 08-10 Ford 6.4L>Heavy Duty Clutch Kits - 08-10 Ford 6.4L>Street Dual Disc - 08-10 Ford 6.4L","2013-05-31 17:39:41",""
"Heavy Duty Clutch Kits - 08-10 Ford 6.4L","Street Single Disc - 08-10 Ford 6.4L","South Bend Clutch Street Single Disc Clutch Kits for 2008 - 2010 Ford 6.4L Power Stroke","","779115","https://usdieselparts.com/images/F101516165","South Bend Clutch Street Single Disc Clutch Kits for 2008 - 2010 Ford 6.4L Power Stroke","Single, Disc, Clutches, Ford, 6.4L, Power, Stroke, south, bend, clutch","Single Disc Clutches Ford 6.4L Power Stroke","500","Ford>2008-2010 6.4L Ford Power Stroke>Transmissions - 08-10 Ford 6.4L>Heavy Duty Clutch Kits - 08-10 Ford 6.4L>Street Single Disc - 08-10 Ford 6.4L","2013-05-31 17:39:41",""
"2008-2010 6.4L Ford Power Stroke","Turbochargers - 08-10 Ford 6.4L","<p>Turbochargers and Turbo Accessories for 2008 - 2010 Ford 6.4L Power Stroke.</p>

<p>Turbochargers have been in our blood since the beginning. We offer stock turbochargers by Borgwarner, Garrett, and Holset and few other aftermarket companies. We also offer performance turbochargers by some of the biggest names in the Industry such as Industrial Injection, ATS Diesel Performance, HS Performance, BD Diesel and a few others. Went it comes to your Ford 6.4L Power Stroke turbocharger needs, don’t settle for cheap! Get the best. If you think you may want to upgrade to a performance turbocharger but really don’t know what you are looking for please call us at 1-800-823-4444 and we will help you pick the correct turbo for your needs. </p>","","779117","https://usdieselparts.com/images/F101140241","Turbochargers and Accessories for 2008 - 2010 Ford 6.4L Power Stroke","Turbochargers, Ford, 6.4L, Power, Stroke","Turbochargers Ford 6.4L Power Stroke","460","Ford>2008-2010 6.4L Ford Power Stroke>Turbochargers - 08-10 Ford 6.4L","2013-05-31 17:39:42",""
"Turbochargers - 08-10 Ford 6.4L","Stock & Performance Turbochargers - 08-10 Ford 6.4L","<p>The 2008-10 Ford 6.4L Super Duty trucks were the first and are still the only trucks that came stock with a twin turbocharger setup. This setup has been proven many times over to be a very powerful addition to the Ford Power Stroke line up. We offer Borgwarner and PurePower factory replacement turbochargers to help you get back on the road and if you are looking for a performance alternative you can't go wrong with our additions from ATS, BD, H&S Motorsport or Industrial Injection.  If you have any questions on your turbo needs, please don't hesitate to give us a call on our toll free # 1(800)823-4444 and talk with our parts department.    </p>","","779118","https://usdieselparts.com/images/F101140238","Factory Replacement Turbochargers for 2008 - 2010 Ford 6.4L Power Stroke","Factory, Replacement, Turbochargers, 2008, 2009, 2010, Ford, 6.4L, Power, Stroke","Stock & Performance Turbochargers - 08-10 Ford 6.4L","500","Ford>2008-2010 6.4L Ford Power Stroke>Turbochargers - 08-10 Ford 6.4L>Stock & Performance Turbochargers - 08-10 Ford 6.4L","2013-05-31 17:39:42",""
"Turbochargers - 08-10 Ford 6.4L","Turbocharger Accessories - 08-10 Ford 6.4L","Turbocharger Accessories for 2008 - 2010 Ford 6.4L Power Stroke","","779120","https://usdieselparts.com/images/F101140273","Turbocharger Accessories for 2008 - 2010 Ford 6.4L Power Stroke","Turbocharger, Accessories, 2008, 2009, 2010, Ford, 6.4L, Power, Stroke","Turbocharger Accessories Ford 6.4L Power Stroke","500","Ford>2008-2010 6.4L Ford Power Stroke>Turbochargers - 08-10 Ford 6.4L>Turbocharger Accessories - 08-10 Ford 6.4L","2013-05-31 17:39:42",""
"Ford","2011-2023 6.7L Ford Power Stroke","<p align=""left"">Ford
codenamed the latest 6.7L Power Stroke engine the ""Scorpion"" due to the turbo
placement on top of the engine. The Scorpion features many groundbreaking changes
in 2011, such as a compacted graphite iron (CGI) block for greater strength and
reduced weight, reverse flow aluminum cylinder heads with exhaust ports located
in the lifter valley, dual water jackets, six head bolts per cylinder, and
a 29,000 psi high-pressure Bosch Common Rail fuel system, which is a first for
any Power Stroke engine. The system delivers up to five injection events per cylinder
per cycle using eight-hole piezo injectors.
This 6.7L Scorpion also supports B20 biodiesel. Honeywells unique single-sequential turbocharger
features a double-sided compressor wheel mounted on a single shaft. It combines
the benefits of a small turbocharger for quicker response and a large turbocharger
with the ability to compress and force more air into the engine for more power
all in one unit. Emission controls include exhaust gas recirculation (EGR), Denoxtronic
based Selective Catalytic Reduction (SCR) from Bosch, and a Diesel Particulate
Filter (DPF). The new engine control software bumped the horsepower to 400 hp
@ 2800 rpm and 800 lbft @ 1600 rpm. You'll find a nice selection of high performance and factory replacement parts for your Ford 6.7L Power Stroke right here!</p>","<p>The 6.7L emissions controls include exhaust gas recirculation, Denoxtronic based Selective Catalytic Reduction (SCR) solution from Bosch, and a Diesel Particulate Filter (DPF). Output was originally 390 hp (291 kW) and 735 lb·ft (997 N·m) but shortly after production started, Ford announced that they have made an update to the new 6.7L diesel. The new engine control software makes the engine capable of 400 hp (298 kW) @ 2800 rpm and 800 lb·ft (1,085 N·m) @ 1600 rpm while achieving better fuel economy and without any physical changes to the engine. All 6.7L engines already shipped to dealerships or purchased by customers can be upgraded to Fords new specifications with a free software update available at Ford dealerships.</p>","779121","https://usdieselparts.com/images/F76369890","High performance and replacement parts for 2011 - 2023 Ford 6.7L Power Stroke","parts, high, performance, replacement, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, ford, 6.7L, power, stroke, powerstroke, scorpion","Ford 6.7L Power Stroke Parts","480","Ford>2011-2023 6.7L Ford Power Stroke","2013-05-31 17:39:43",""
